AT,TAT,TEY,CLUSTER
7.7232,549.78,133.67,1
12.405999999999999,529.14,160.39,0
5.6607,529.64,161.45,0
5.0722,549.99,134.67,1
4.8119,549.77,134.67,1
5.087,550.0,134.19,1
5.6301,550.18,133.67,1
5.912000000000001,550.21,133.67,1
6.126,550.39,133.66,1
6.3422,550.32,133.68,1
6.5693,550.21,133.67,1
7.2088,550.09,133.67,1
8.7186,533.76,152.15,1
10.116,529.29,161.03,0
11.933,542.73,142.62,1
12.712,550.08,132.75,1
12.786,549.86,132.71,1
12.644,549.62,132.7,1
12.359000000000002,543.22,141.2,1
9.7843,543.65,141.54,1
9.4768,549.81,133.72,1
8.9205,550.07,133.68,1
8.2064,549.85,133.68,1
7.2737,550.06,133.65,1
6.8282,550.03,133.68,1
6.5604,549.86,133.66,1
6.2478,549.84,135.86,1
12.5,530.33,159.23,0
12.734000000000002,529.32,159.51,0
13.173,530.5,158.78,0
12.585,529.47,160.64,0
8.2761,531.58,157.74,0
8.8891,549.87,134.33,1
9.2962,550.17,133.7,1
9.2916,550.0,133.7,1
9.2871,549.79,133.69,1
9.2303,550.1,133.7,1
9.1345,550.02,133.66,1
9.1202,550.15,133.87,1
9.2353,533.46,153.35,0
9.5996,529.48,161.54,0
11.886,530.17,159.21,0
12.592,529.86,159.13,0
13.208,530.93,158.39,0
13.182,529.97,158.97,0
13.311,530.61,158.54,0
13.56,529.17,159.89,0
13.103,531.41,159.04,0
8.2631,539.82,146.5,1
7.7477,550.24,133.08,1
7.3956,550.41,134.67,1
7.0925,549.94,134.67,1
7.4034,549.95,134.67,1
7.2227,549.94,134.68,1
7.0146,550.05,134.58,1
6.8610000000000015,548.98,135.52,1
11.265,530.54,160.43,0
11.982999999999999,529.53,160.35,0
12.924000000000001,531.33,158.55,1
13.482999999999999,530.34,159.06,1
13.905999999999999,531.17,158.14,1
13.739,530.43,159.06,0
13.411,530.84,159.65,0
13.029000000000002,529.96,160.43,0
9.3112,549.69,134.32,1
9.1255,549.76,133.69,1
9.0689,550.06,133.69,1
9.0954,550.01,133.69,1
9.196,549.95,133.68,1
9.2193,549.96,133.69,1
9.1515,550.17,133.59,1
9.2894,549.95,135.59,1
9.5514,532.03,154.75,0
10.214,529.86,161.0,0
11.575999999999999,529.68,160.11,0
12.255,531.42,158.98,1
12.773,530.75,158.95,0
12.873,531.6,158.46,0
12.83,530.81,158.85,0
12.744000000000002,531.81,158.42,0
12.595999999999998,530.62,159.53,0
11.997,530.53,160.1,0
11.328,530.23,160.76,0
11.370999999999999,529.32,161.37,0
11.288,529.86,161.19,0
11.065,529.63,161.32,0
11.039000000000001,538.75,148.89,1
11.015,550.09,133.9,1
10.946,550.02,133.67,1
10.93,549.89,133.66,1
10.819,549.95,133.68,1
10.743,549.99,133.68,1
10.679,550.04,133.67,1
10.727,550.05,133.56,1
10.71,549.76,133.13,1
10.681,530.61,158.9,0
11.737,530.47,160.27,0
12.167,529.91,160.26,0
12.717,531.11,159.46,0
12.857000000000001,530.5,159.65,1
12.378,530.95,159.9,1
12.09,529.36,160.87,1
7.5096,538.94,149.35,1
7.1508,550.11,133.98,1
6.7584,550.29,133.57,1
6.5279,549.68,134.21,1
8.7447,550.07,133.68,1
9.2724,550.13,133.67,1
9.7363,549.95,133.26,1
9.8085,538.37,147.98,1
10.242,529.19,161.74,0
11.288,529.4,160.66,0
12.344000000000001,530.96,159.17,0
12.952,530.29,159.26,0
13.315,531.4,158.35,0
13.55,530.59,158.68,0
13.777000000000001,538.37,148.31,0
13.692,531.13,158.81,0
13.514000000000001,531.65,158.9,0
9.4039,549.49,134.28,1
9.5635,550.18,133.04,1
9.4239,539.14,148.2,1
9.6916,539.34,147.15,1
10.562000000000001,550.15,133.69,1
11.31,550.15,133.68,1
11.565,549.95,133.68,1
11.530999999999999,550.24,133.68,1
11.353,549.99,133.69,1
11.251,549.92,133.66,1
11.350999999999999,549.81,133.55,1
11.743,544.55,140.46,0
12.047,530.01,159.7,0
11.915999999999999,529.82,159.87,0
11.684000000000001,529.36,160.25,0
11.751,529.94,159.83,0
11.863,529.59,160.28,0
11.718,530.77,159.55,0
10.812000000000001,549.6,134.84,1
10.616,549.62,132.75,1
10.481,549.88,133.21,1
10.415999999999999,549.97,133.68,1
10.319,550.12,133.67,1
10.264000000000001,549.79,133.66,1
10.158999999999999,550.23,133.67,1
10.074,550.01,133.64,1
9.8291,549.42,136.89,1
8.3351,531.62,157.89,0
7.6761,550.06,133.63,1
7.1663,550.13,133.25,1
6.688,549.96,133.61,1
6.5309,550.13,133.58,1
6.4385,549.84,132.89,1
6.3610000000000015,549.83,132.87,1
6.0249,550.09,134.04,1
5.6936,549.76,133.67,1
5.5752,549.95,133.67,1
5.6362,550.05,133.68,1
5.6416,549.94,133.65,1
5.5981,548.8,135.03,1
9.6791,529.64,160.9,0
11.205,530.21,160.14,0
12.189,529.79,160.33,0
10.05,529.49,160.86,1
12.042,529.34,160.4,1
12.194,529.77,160.45,0
12.186,529.64,160.77,0
11.668,529.94,161.15,0
7.4653,549.36,133.96,1
7.7144,549.74,133.56,1
7.7605,549.91,133.37,1
7.8805,549.62,133.67,1
7.8172,549.71,134.84,1
7.6759,549.97,133.67,1
7.803,549.83,133.68,1
7.8899,550.12,133.6,1
7.904,549.83,135.18,1
11.005999999999998,529.93,160.34,0
11.595,529.42,160.61,0
11.705,531.64,159.23,1
11.842,529.76,160.2,0
12.190999999999999,530.68,159.64,0
12.190999999999999,529.7,160.55,0
11.54,530.73,160.94,0
7.7408,549.73,134.87,1
7.3334,549.69,134.12,1
7.1875,549.88,133.68,1
7.808,549.88,133.69,1
8.277999999999999,550.09,133.69,1
8.5484,549.9,134.0,1
8.6131,549.74,133.69,1
8.5669,549.59,133.67,1
8.6192,542.89,143.14,1
8.9742,530.64,161.32,0
9.4873,530.75,160.71,0
10.947000000000001,530.87,159.78,0
12.181,530.64,159.04,0
12.927999999999999,549.32,134.25,1
13.434000000000001,529.72,158.91,0
14.02,532.22,156.89,0
14.44,531.51,157.52,0
14.376,532.64,157.34,0
14.075,531.34,158.04,0
12.542,529.15,160.86,0
12.446,529.47,160.26,0
12.695,549.42,136.28,1
12.85,549.73,134.45,1
12.203,549.85,133.75,1
11.745999999999999,550.29,133.67,1
11.514000000000001,549.86,134.13,1
11.972000000000001,549.96,133.66,1
12.716,550.33,133.66,1
12.544,550.03,133.58,1
12.425999999999998,550.29,132.98,1
12.539000000000001,536.34,148.92,0
12.887,531.32,158.15,0
13.323,533.08,156.68,0
13.615,531.61,157.31,0
13.812999999999999,532.83,156.72,0
13.818,531.26,157.73,0
14.043,532.78,156.94,0
13.925999999999998,531.91,157.42,0
13.83,533.19,157.02,0
13.800999999999998,532.08,157.28,0
13.895999999999999,533.4,156.38,0
13.949000000000002,532.8,156.7,0
14.402999999999999,533.13,156.59,0
14.805,531.67,157.54,0
14.777999999999999,550.2,133.54,1
13.779000000000002,550.14,135.77,1
13.085,550.07,134.34,1
13.135,550.0,133.29,1
12.975,549.87,134.06,1
13.252,550.09,133.66,1
14.152999999999999,549.61,133.65,1
14.575999999999999,550.12,133.67,1
14.717,549.84,133.67,2
14.648,550.1,133.67,1
14.919,550.26,133.61,1
15.883,550.09,133.11,1
15.964,550.38,134.09,1
14.647,550.27,133.69,0
14.526,549.83,133.68,1
14.485,550.1,134.9,1
14.727,550.19,133.67,1
14.401,549.84,133.66,1
14.32,549.58,134.56,1
13.978,532.13,157.89,0
13.585,549.95,134.78,1
13.89,550.0,133.12,1
12.157,550.31,133.7,1
10.013,550.02,132.67,1
9.4511,550.01,133.45,1
8.3283,549.95,133.87,1
7.4789,549.96,133.67,1
7.1925,549.98,133.66,1
7.0393,549.94,133.67,1
7.2172,549.96,133.66,1
7.6758,549.97,133.57,1
7.9616,549.96,135.56,1
9.3438,529.83,161.99,0
8.9018,529.43,162.77,0
8.3521,529.94,162.63,0
7.9837,549.76,132.89,1
7.9106,549.83,132.55,1
7.785,549.92,134.12,1
7.5117,550.0,133.67,1
7.3019,550.02,133.68,1
7.2812,550.0,133.68,1
7.2218,550.09,133.57,1
6.8968,548.85,135.13,1
4.2277,549.44,134.06,1
4.5002,549.73,133.82,1
4.3771,550.06,133.67,1
4.0772,550.04,133.67,1
4.1564,550.06,133.66,1
4.3561,549.94,133.6,1
4.4922,550.17,133.39,1
4.7781,549.97,134.85,1
6.6964,537.17,152.42,1
6.5686,549.86,134.33,1
6.766,549.82,134.39,1
6.8864,550.17,132.98,1
7.0153,549.97,133.64,1
5.8524,550.13,133.68,1
5.1642,550.03,133.71,1
5.1003,549.88,133.69,1
5.4117,550.13,133.7,1
5.4251,549.92,133.58,1
5.2061,549.76,132.88,1
5.016,550.04,134.81,1
5.1759,549.92,135.85,1
6.2824,550.04,134.36,1
5.7675,550.17,133.73,1
5.2219,550.25,134.01,1
5.1186,550.02,133.52,1
5.0959,549.81,134.51,1
5.2282,550.03,133.62,1
5.2353,550.09,134.24,1
5.0342,549.85,133.68,1
5.1305,549.81,133.67,1
5.1481,550.36,133.68,1
5.4407,550.02,133.68,1
5.9846,549.8,133.51,1
6.4945,550.13,134.08,1
6.5905,550.31,132.86,1
7.2289,534.49,155.63,1
8.1818,529.61,162.25,0
10.554,549.89,133.56,1
11.046,542.23,143.17,1
11.082,530.31,160.6,0
10.897,536.27,149.96,1
10.604000000000001,540.93,144.93,1
10.132,529.66,161.68,0
10.024,546.16,141.03,1
10.009,544.81,142.27,1
9.8537,549.19,131.73,1
9.8118,549.86,135.5,1
9.6955,550.17,135.56,1
9.5991,550.15,135.61,1
9.359,550.02,135.48,1
9.2014,550.09,133.66,1
9.0852,549.87,134.08,1
8.9575,550.05,133.67,1
8.8845,550.18,133.67,1
8.7066,549.99,133.65,1
8.8455,549.83,133.67,1
8.7519,549.88,134.55,1
8.6391,549.91,133.44,1
8.6229,550.01,135.47,1
9.1053,542.99,143.25,1
8.8846,539.06,149.47,1
8.3176,549.58,134.76,1
7.8225,549.83,134.77,1
7.096,550.14,136.16,1
6.5748,549.91,135.01,1
6.3669,549.93,134.78,1
6.019,550.17,135.43,1
5.2055,549.88,135.5,1
4.7427,549.89,133.67,1
4.6404,549.8,133.67,1
4.5034,550.08,133.12,1
4.5008,549.78,133.68,1
5.1002,549.93,133.68,1
6.2989999999999995,550.09,133.68,1
7.0567,550.07,133.67,1
7.7453,549.95,133.67,1
8.106,549.87,133.68,1
8.1465,549.68,133.8,1
8.1627,549.89,133.65,1
7.9658,549.99,133.66,1
7.2061,549.77,133.56,1
6.1806,549.92,134.3,1
5.2588,550.09,134.36,1
4.6801,550.15,134.68,1
4.4363,550.09,134.04,1
4.4067,549.73,134.22,1
4.0644,549.99,133.91,1
3.6613,550.09,134.34,1
3.4304,549.73,133.67,1
3.1848,549.94,134.3,1
2.9468,550.15,133.66,1
2.5856,549.65,133.67,1
2.3981,549.74,133.67,1
2.3323,549.9,133.45,1
2.3419,550.16,133.5,1
2.8864,550.26,133.57,1
4.2860000000000005,534.69,154.88,1
4.9889,530.83,160.35,1
5.2592,550.11,134.06,1
5.4882,549.87,134.49,1
5.2458,536.69,151.26,1
4.8703,549.96,134.45,1
4.4546,550.06,133.6,1
4.1162,550.09,134.66,1
3.7782,550.33,134.66,1
3.6309,550.0,134.66,1
3.2926,550.03,134.66,1
3.2833,550.15,134.49,1
3.1912,550.04,134.34,1
3.4002,550.31,133.39,1
4.1443,549.42,132.74,1
5.9469,529.86,162.94,1
7.8543,530.81,161.48,1
4.9057,544.39,142.16,1
4.7055,550.07,134.32,2
4.695,550.0,134.38,1
4.313,532.73,156.63,1
4.1112,544.42,139.33,1
3.9896,550.06,132.53,1
3.3475,550.07,132.7,1
2.8071,549.93,133.46,1
2.4609,550.11,133.2,1
2.3284,550.16,133.35,1
2.2007,550.16,133.66,1
2.1163,550.31,133.57,1
2.4392,550.09,134.5,1
3.1430000000000002,549.98,134.38,1
8.5434,530.12,161.47,1
5.4249,543.86,142.39,1
4.5596,549.8,133.36,1
4.2446,550.03,132.12,1
3.7933,550.12,133.23,1
3.647,549.88,134.34,1
3.6128,549.91,133.65,1
3.2907,549.83,133.9,1
3.2959,550.09,133.66,1
4.1687,549.85,133.66,1
5.0733,549.85,133.67,1
5.1324,549.98,133.6,1
5.2317,550.18,133.12,1
5.4516,550.03,136.86,1
6.3647,550.04,134.38,1
6.3244,550.29,133.8,1
6.6493,550.03,134.45,1
7.2479999999999976,550.06,134.57,1
7.6843,549.63,134.38,1
7.6884,550.03,133.0,1
7.608,550.01,132.66,1
7.5538,549.9,133.65,1
7.6821,549.91,133.65,1
7.6714,550.06,133.65,1
7.3944,549.87,133.66,1
7.4408,549.85,133.61,1
7.7345,550.08,134.65,1
7.5732,540.41,145.61,1
7.7793,549.15,133.56,1
7.2517,549.96,134.27,1
6.8228,549.96,134.15,1
6.2108,549.7,134.56,1
5.7572,550.02,135.17,1
5.2828,549.86,134.49,1
4.7938,550.03,134.94,1
4.7429,549.95,134.03,1
5.1013,550.03,132.2,1
5.1529,549.96,132.67,1
4.9803,549.97,132.66,1
4.68,550.0,132.66,1
4.2975,550.04,132.66,1
4.2351,550.31,132.67,1
4.551,550.09,132.66,1
5.7782,549.81,132.77,1
7.8002,535.3,151.37,1
9.5111,529.92,160.65,1
7.5792,546.08,139.6,1
7.0783,550.09,134.47,1
6.2913,550.07,134.17,1
5.8975,549.95,134.27,1
5.6982,550.06,134.37,1
5.541,550.07,133.66,1
5.7519,550.22,134.07,1
7.3717,549.95,133.94,1
7.5535,549.95,133.66,1
6.6335,550.04,133.66,1
5.5764,550.1,133.66,1
4.6285,549.84,133.65,1
4.5385,550.14,133.57,1
6.2147,550.0,133.09,1
10.838,549.93,133.38,1
12.845,550.19,133.65,1
13.582,549.87,133.67,1
14.331,550.09,131.61,1
14.850999999999999,550.22,133.57,1
15.099,550.33,133.69,1
14.847000000000001,549.87,133.68,1
13.620999999999999,550.09,133.59,1
12.725,550.02,133.87,1
12.232999999999999,550.33,133.69,1
10.965,550.34,133.77,1
10.255999999999998,550.06,134.19,1
10.315,550.07,134.58,1
10.092,550.03,134.33,1
10.38,550.14,133.98,1
9.5309,550.09,133.66,1
8.3966,550.2,133.65,1
8.0138,550.12,133.67,1
7.88,550.02,133.66,1
8.0725,550.13,133.67,1
7.7127,549.94,133.66,1
7.0338,550.02,133.77,1
7.3118,550.1,133.68,1
8.565,534.88,152.52,1
10.947000000000001,531.55,158.17,0
12.87,531.14,157.58,1
14.185,532.49,156.4,1
15.061,531.95,156.42,1
15.712,532.27,156.2,0
15.687999999999999,531.31,156.79,0
15.071,531.96,157.03,0
13.522,529.98,159.14,0
12.874,529.52,160.04,0
7.4266,550.14,134.62,1
7.1727,550.17,133.67,1
7.0461,549.83,133.68,1
6.8157,549.86,133.66,1
6.545,550.0,133.66,1
6.6655,549.63,133.66,1
6.5393,550.17,133.63,1
6.483,549.94,135.11,1
7.0419,549.65,134.9,1
8.478,539.46,147.14,1
11.117,532.14,157.33,0
12.821,531.78,157.3,1
14.198,533.24,156.3,1
15.302999999999999,532.95,155.68,1
15.860999999999999,533.75,155.06,0
15.91,533.19,155.49,0
15.671,533.57,155.6,0
14.745999999999999,550.23,133.07,1
12.902000000000001,549.69,134.46,1
11.716,550.04,133.78,1
10.575999999999999,549.92,133.79,1
8.3257,539.08,148.59,1
6.9457,550.18,134.45,1
6.257999999999999,549.91,133.77,1
6.4636,549.82,133.66,1
6.0124,550.04,124.55,1
5.7899,549.79,133.38,1
5.9533,550.06,133.65,1
6.0913,550.02,133.67,1
5.9415,550.19,133.59,1
5.5376,550.09,133.82,1
6.2598,549.85,133.78,1
8.293,546.58,137.68,1
11.665999999999999,531.14,157.83,1
13.331,532.63,156.76,1
13.779000000000002,531.84,157.23,1
13.970999999999998,532.58,156.59,1
13.939,531.75,157.35,1
13.614,532.5,157.3,0
13.075,531.22,158.32,0
12.447000000000001,549.98,134.01,1
11.43,549.97,134.81,1
10.373,550.12,134.07,1
8.9732,550.01,134.03,1
8.2502,550.13,133.97,1
7.2318,549.98,134.92,1
6.8058,550.26,134.37,1
6.9194,549.99,133.25,1
6.4506,550.0,133.69,1
5.8949,549.9,133.69,1
5.6442,550.02,133.69,1
5.3749,549.8,133.67,1
5.2595,549.96,133.67,1
5.6379,549.88,132.78,1
5.9483,550.05,132.39,1
6.5105,545.35,138.76,1
10.01,529.58,160.74,0
11.620999999999999,529.88,159.82,1
12.583,531.23,158.63,1
12.697000000000001,532.07,157.81,1
12.592,530.95,158.78,0
12.579,530.03,159.39,0
5.4382,550.31,133.71,1
4.2183,550.24,133.49,1
3.7964,550.08,124.63,1
3.6416,550.19,133.89,1
3.4034,550.16,132.68,1
3.5126,549.98,132.67,1
3.3044,550.25,133.2,1
2.9335,549.86,132.88,1
3.6177,546.14,137.84,1
5.5503,531.48,160.67,0
8.1045,533.48,158.54,0
10.927999999999999,529.52,160.32,1
11.383,529.16,160.48,1
11.682,530.67,159.6,1
11.69,529.82,160.01,0
11.493,530.63,159.57,1
10.953,529.35,160.98,0
9.5084,530.74,161.34,0
5.3448,530.58,160.33,1
7.8236,550.12,133.65,1
10.242,549.78,133.64,1
10.703,550.31,133.67,1
10.74,550.12,133.48,1
10.63,550.03,110.86,1
10.42,549.62,132.2,1
11.548,539.43,147.19,1
12.525,534.31,156.47,1
13.255999999999998,533.05,156.93,1
14.095999999999998,534.44,156.0,1
14.925,534.16,155.64,1
15.919,535.78,154.38,1
16.625999999999998,534.86,154.25,1
16.965999999999998,535.71,153.6,1
16.739,534.45,154.46,1
15.683,535.47,155.14,0
15.123,533.51,155.96,0
14.9,549.97,133.96,1
14.63,550.26,133.81,1
14.154000000000002,549.79,134.23,1
13.880999999999998,532.33,156.68,0
13.526,549.87,134.35,1
12.450999999999999,550.15,133.65,1
11.448,550.2,132.44,1
10.759,550.02,133.66,1
9.9604,549.59,133.9,1
8.8774,544.16,111.58,2
7.3684,550.13,111.73,2
8.0533,550.22,112.62,1
9.8091,550.12,133.0,1
10.629000000000001,550.0,121.76,1
10.837,549.96,123.95,1
11.702,550.07,133.68,1
12.51,550.03,133.67,1
13.024000000000001,549.89,133.68,1
13.261,549.59,133.67,1
12.469000000000001,550.06,133.67,1
10.649000000000001,550.06,133.68,1
9.2974,534.02,155.48,1
7.5794,549.99,134.54,1
7.5866,544.04,141.43,1
7.8365,549.94,134.0,1
7.9721,549.97,133.66,1
8.055,550.07,133.08,1
7.9662,550.08,133.66,1
7.6381,550.0,133.67,1
7.3889,549.92,133.67,1
7.4341,550.02,133.59,1
7.5727,550.2,134.47,1
8.0161,549.26,134.56,1
9.4791,530.7,160.86,1
10.08,529.84,160.93,1
10.682,530.12,160.66,1
11.058,530.12,160.22,1
11.731,530.86,159.66,1
12.452,530.96,159.17,1
12.405,532.26,159.36,1
11.729000000000001,530.96,159.89,1
11.48,531.08,160.03,1
10.905,530.99,160.48,1
8.9315,550.2,134.39,1
9.0098,550.03,134.35,1
9.068999999999999,550.19,134.0,1
9.3502,549.84,133.65,1
9.3257,550.09,133.66,1
8.9451,550.06,133.61,1
8.7121,550.09,133.36,1
8.4984,550.09,133.62,1
8.1354,540.53,146.51,1
7.9054,530.88,161.17,1
8.2669,529.64,161.74,1
8.6147,531.0,161.63,1
8.4192,529.51,162.57,1
6.3235,550.0,134.11,1
7.1817,550.0,134.97,1
7.5311,550.29,132.15,1
7.7563,550.34,133.61,1
7.7772,550.1,133.67,1
7.7579,550.15,133.66,1
7.8715,550.22,133.66,1
8.0019,550.15,133.67,1
8.0984,549.85,133.52,1
8.121,549.91,134.39,1
8.1416,548.91,134.92,1
8.0593,529.98,162.31,0
8.7373,541.29,145.58,1
5.6979999999999995,550.2,133.9,1
5.7387,549.9,133.92,1
5.8658,550.15,132.81,1
5.7326,549.9,133.81,1
5.4797,549.88,134.46,1
5.4225,549.9,132.92,1
5.2746,549.88,134.65,1
4.7963,549.74,134.66,1
4.7049,549.88,134.65,1
4.8819,549.97,134.67,1
5.4795,550.05,134.57,1
5.9368,549.92,134.3,1
6.6213,550.31,134.65,1
9.8941,530.3,160.42,1
11.014000000000001,529.68,160.87,1
11.450999999999999,550.1,134.21,1
11.479000000000001,529.57,160.7,1
11.197000000000001,530.78,160.1,1
10.856,529.79,160.59,1
10.457,530.9,160.13,1
10.370999999999999,529.88,160.7,1
10.589,530.91,160.01,1
10.96,530.65,159.94,1
11.18,530.32,160.38,1
11.107999999999999,529.41,160.77,1
11.187999999999999,544.13,141.63,1
11.205,549.84,135.02,1
11.183,549.96,135.54,1
11.302999999999999,550.21,134.66,1
10.715,549.99,134.66,1
10.357999999999999,549.98,134.66,1
10.640999999999998,550.13,134.66,1
10.627,550.05,134.66,1
10.690999999999999,550.08,134.52,1
10.61,550.11,134.11,1
11.118,549.96,134.05,1
11.898,550.04,134.49,1
13.585999999999999,550.01,134.13,1
13.671,529.84,158.59,1
13.815,549.09,134.19,1
14.220999999999998,550.06,133.74,1
14.892000000000001,550.13,133.74,1
14.569,550.04,133.78,1
13.37,550.15,133.82,1
13.15,549.89,134.07,1
13.2,550.32,134.42,1
13.540999999999999,550.11,134.43,1
14.055,550.17,132.58,1
14.08,549.89,133.58,1
13.772,550.19,132.46,1
13.498,549.91,133.65,1
13.375,549.85,133.65,1
12.975999999999999,549.84,133.67,1
12.508,549.76,133.66,1
12.15,549.82,133.67,1
12.262,550.16,133.69,1
12.602,549.87,133.71,1
13.07,549.37,134.99,1
13.295,535.03,156.69,1
12.517999999999999,550.3,133.65,1
11.675,550.1,133.51,1
11.498,550.34,133.6,1
11.402999999999999,549.85,134.81,1
11.395999999999999,549.94,135.2,1
11.322000000000001,549.93,134.37,1
10.509,550.14,134.66,1
10.463,549.96,134.03,1
10.284,550.14,134.38,1
10.177999999999999,549.72,134.54,1
10.19,549.91,134.66,1
9.7291,549.97,134.66,1
9.2525,550.13,134.67,1
9.1992,550.03,134.63,1
9.0287,550.13,134.29,1
8.703,549.94,134.67,1
8.3955,549.84,134.53,1
8.3609,550.14,127.94,1
8.1959,550.13,133.97,1
8.1107,550.25,133.7,1
7.8131,550.15,133.7,1
7.545,550.04,133.73,1
7.501,550.2,134.68,1
7.5912,550.19,133.86,1
7.6426,550.12,134.14,1
7.4898,550.03,134.23,1
7.1942,549.98,133.7,1
6.8139,549.95,134.35,1
6.6059,550.05,134.31,1
6.5057,549.9,134.32,1
6.5053,549.94,132.61,1
6.5795,550.05,133.67,1
6.5162,550.09,133.67,1
6.4512,549.93,133.67,1
6.4094,550.2,133.62,1
6.4753,550.15,133.45,1
6.4331,549.91,134.08,1
6.6515,549.92,134.44,1
7.6511,534.29,154.75,1
8.9323,531.21,160.6,1
9.5941,529.97,160.65,1
10.350999999999999,530.8,159.8,1
10.248,529.71,160.69,1
10.093,530.74,160.52,1
10.191,529.5,161.23,1
10.047,530.36,160.96,1
9.4282,530.53,161.22,1
8.6401,542.9,143.81,1
8.494,549.85,134.29,1
8.5074,550.0,133.26,1
8.551,549.94,134.53,1
8.6087,550.22,133.91,1
8.6814,550.09,133.66,1
8.5124,550.06,134.32,1
8.2682,550.18,133.67,1
7.8995,550.12,133.67,1
7.8101,549.85,133.66,1
7.947999999999999,549.73,133.89,1
8.3075,549.95,134.03,1
8.8239,549.99,133.94,1
9.5071,549.01,139.62,1
10.094,531.09,160.03,1
10.367,532.34,159.43,1
10.219,531.14,160.31,1
9.8815,532.67,159.48,1
9.8241,531.23,160.53,1
9.8568,532.16,159.97,1
10.061,530.98,160.47,1
10.364,532.03,159.96,1
10.443,530.45,160.69,0
10.569,547.96,137.23,1
10.725999999999999,550.02,134.02,1
10.744000000000002,550.05,133.75,1
10.835,550.04,134.57,1
10.88,549.86,134.29,1
10.845999999999998,550.14,133.74,1
10.773,550.04,133.35,1
10.764000000000001,549.72,133.71,1
10.579,549.99,133.67,1
10.044,549.95,133.67,1
9.8142,550.04,133.65,1
9.7702,549.82,133.55,1
9.8586,550.33,133.54,1
9.9265,549.97,133.36,1
10.312000000000001,530.4,160.72,0
10.818,530.36,160.6,0
10.478,529.93,161.04,1
10.341,530.36,160.86,1
10.507,529.91,160.98,0
10.975999999999999,531.46,159.69,0
10.873,530.11,160.59,0
10.378,546.56,137.35,1
9.9367,549.93,133.73,1
9.3684,550.03,134.44,1
8.876,550.0,133.52,1
8.4025,549.99,133.66,1
8.2673,550.25,133.66,1
8.3744,550.24,133.73,1
